date,btc_price_usd_open,btc_price_usd_high,btc_price_usd_low,btc_price_usd_close,btc_open_interest,btc_funding_rates,eth_price_usd_open,eth_price_usd_high,eth_price_usd_low,eth_price_usd_close,eth_open_interest,eth_funding_rates,btc_mpi,btc_estimated_leverage_ratio,btc_stablecoin_supply_ratio,btc_reserve,btc_reserve_usd,btc_netflow_total,eth_reserve,eth_reserve_usd,eth_netflow_total
5/5/2021,53208.055,57997.40333,52910.18167,57469.79333,6438049361,0.01558069,3239.368333,3547.906667,3207.216667,3525.676667,3168890173,0.04536185,-0.231347364,0.11364593,22.70027314,2421309.196,1.39152E+11,5046.086356,20704325.89,72996758683,-41204.78878
5/4/2021,57178.27167,57220.64167,53061.925,53209.44833,6570100952,0.01536592,3430.7,3528.363333,3161.233333,3239.56,2895271865,0.03702668,-0.174711075,0.125072,21.27201137,2416263.109,1.28568E+11,5923.363043,20745530.68,67206391359,109919.3148
5/3/2021,56594.96,58990.63167,56448.68167,57178.255,6856334108,0.03667328,2950.246667,3455.531667,2950.185,3430.548333,3102512801,0.0400935,-0.238701177,0.12293231,23.0980357,2410339.746,1.37819E+11,-1936.045291,20635611.36,70791462165,-16433.41619
5/2/2021,57827.97667,57939.71,56055.46167,56594.94167,6755695205,0.02475026,2946.456667,2985.09,2853.15,2950.246667,2676855989,0.02157715,-0.616891301,0.12259481,22.99423421,2412275.791,1.36523E+11,1248.516748,20652044.78,60928626267,-53414.31735
5/1/2021,57721.59833,58500.63,57034.27667,57828.48,6672418744,0.01801892,2773.813333,2954.901667,2753.726667,2946.416667,2637041052,0.01898677,-0.567870052,0.11868952,23.64626466,2411027.275,1.39426E+11,136.4593439,20705459.1,61006909770,127533.4888
4/30/2021,53572.57,57973.75,53040.26667,57720.93667,6596362000,0.01017842,2757.938333,2799.408333,2724.953333,2773.813333,2465212451,0.03012873,-0.34737038,0.11756845,23.67874897,2410890.815,1.39159E+11,5782.621354,20577925.61,57079324420,-70944.81001
4/29/2021,54854.95333,55205.25167,52345.63667,53572.58833,6211954123,0.00970928,2748.398333,2798.796667,2669.345,2757.94,2365856118,0.01920077,-0.384734265,0.11827336,22.19904359,2405108.194,1.28848E+11,1478.622668,20648870.42,56948345677,-41840.37034
4/28/2021,55035.165,56448.285,53830.40333,54854.95333,6009849400,0.00869453,2667.046667,2760.741667,2561.335,2748.343333,2402825825,0.03629836,-0.209487702,0.11135898,22.9988818,2403629.571,1.31851E+11,6717.55066,20690710.79,56865177054,30789.73178
4/27/2021,54014.415,55481.74833,53267.39,55036.26333,6137243728,0.00394991,2532.971667,2681.923333,2481.916667,2667.053333,2379186610,0.03564329,-0.417424172,0.11428119,23.1837089,2396912.021,1.31917E+11,1550.375449,20659921.06,55101111317,144.53621
4/26/2021,49087.435,54368.885,48776.81333,54014.76667,6021964418,0.0013688,2320.903333,2543.036667,2304.651667,2533.306667,2192258654,0.0357965,-0.386925699,0.11281706,22.85660489,2395361.645,1.29385E+11,-2971.687105,20659776.52,52337549588,-76623.2235
